id,epoch,epoch_size,num_samples,total_workload,batch_size,lr,initial_loss,loss,acc,throughput
4,17,40000,680000,1440000,512,0.004,6.907755621,1.326167533,0.50675,2819.470665
4,18,40000,720000,1440000,512,0.004,6.907755621,1.194704638,0.56325,2823.011436
4,19,40000,760000,1440000,512,0.004,6.907755621,1.143128026,0.584125,2820.950847
4,20,40000,800000,1440000,512,0.004,6.907755621,1.093255849,0.6005,2826.800296
4,21,40000,840000,1440000,512,0.004,6.907755621,1.025533545,0.628,2818.458444
4,22,40000,880000,1440000,512,0.004,6.907755621,0.99571788,0.638625,2827.547052
4,23,40000,920000,1440000,512,0.004,6.907755621,1.077549048,0.611,2818.294946
4,24,40000,960000,1440000,512,0.004,6.907755621,0.996445908,0.64325,2824.992038
4,25,40000,1000000,1440000,512,0.004,6.907755621,0.987090593,0.6455,2818.94787
4,26,40000,1040000,1440000,512,0.004,6.907755621,0.87369035,0.689375,2821.976177
4,27,40000,1080000,1440000,512,0.004,6.907755621,0.875000827,0.68575,2826.587542
4,28,40000,1120000,1440000,512,0.004,6.907755621,0.841963869,0.70075,2827.286455
4,29,40000,1160000,1440000,512,0.004,6.907755621,0.842336257,0.701125,2807.401526
4,30,40000,1200000,1440000,512,0.004,6.907755621,0.818711252,0.715625,2816.136804
4,31,40000,1240000,1440000,512,0.004,6.907755621,0.791125676,0.725,2812.109535
4,32,40000,1280000,1440000,512,0.004,6.907755621,0.802092067,0.721625,2814.401787
4,33,40000,1320000,1440000,512,0.004,6.907755621,0.753242396,0.7375,2818.497704
4,34,40000,1360000,1440000,512,0.004,6.907755621,0.762203421,0.73925,2817.897597
4,35,40000,1400000,1440000,512,0.004,6.907755621,0.714335321,0.752375,2815.310876
14,1,20000,20000,1340000,512,0.004,6.9171554,4.122513451,0.07925,2498.02173
14,2,20000,40000,1340000,512,0.004,6.9171554,2.342060335,0.10375,2742.894177
14,3,20000,60000,1340000,512,0.004,6.9171554,2.329258531,0.1065,2751.603599
14,4,20000,80000,1340000,512,0.004,6.9171554,2.327088133,0.1065,2740.286867
14,5,20000,100000,1340000,512,0.004,6.9171554,2.324561052,0.1065,2741.491092
14,6,20000,120000,1340000,512,0.004,6.9171554,2.323543444,0.1065,2735.605483
14,7,20000,140000,1340000,512,0.004,6.9171554,2.322666496,0.1065,2749.593941
14,8,20000,160000,1340000,512,0.004,6.9171554,2.32044863,0.1065,2750.166988
14,9,20000,180000,1340000,512,0.004,6.9171554,2.318125151,0.1065,2741.88263
14,10,20000,200000,1340000,512,0.004,6.9171554,2.311527997,0.1065,2740.151166
14,11,20000,220000,1340000,512,0.004,6.9171554,2.289999962,0.1065,2749.650131
14,12,20000,240000,1340000,512,0.004,6.9171554,2.165827304,0.1625,2745.061455
14,13,20000,260000,1340000,512,0.004,6.9171554,2.076621659,0.1925,2742.846334
14,14,20000,280000,1340000,512,0.004,6.9171554,2.018977918,0.2065,2745.368601
14,15,20000,300000,1340000,512,0.004,6.9171554,1.959532823,0.2135,2750.436831
14,16,20000,320000,1340000,512,0.004,6.9171554,1.95609891,0.219,2743.900527
14,17,20000,340000,1340000,512,0.004,6.9171554,1.962665685,0.23125,2751.837818
14,18,20000,360000,1340000,512,0.004,6.9171554,1.934930369,0.2415,2733.45673
14,19,20000,380000,1340000,512,0.004,6.9171554,1.903783862,0.25775,2741.662439
14,20,20000,400000,1340000,512,0.004,6.9171554,1.882226743,0.25425,2746.119598
14,21,20000,420000,1340000,512,0.004,6.9171554,1.815853279,0.288,2740.455367
14,22,20000,440000,1340000,512,0.004,6.9171554,1.850469545,0.291,2751.504269
14,23,20000,460000,1340000,512,0.004,6.9171554,1.713845801,0.3295,2734.3058
14,24,20000,480000,1340000,512,0.004,6.9171554,1.834076721,0.2975,2747.824498
14,25,20000,500000,1340000,512,0.004,6.9171554,1.666956071,0.34425,2749.045895
14,26,20000,520000,1340000,512,0.004,6.9171554,1.642810654,0.3435,2747.072412
14,27,20000,540000,1340000,512,0.004,6.9171554,1.728444818,0.32025,2737.423965
14,28,20000,560000,1340000,512,0.004,6.9171554,1.612696387,0.361,2746.895141
14,29,20000,580000,1340000,512,0.004,6.9171554,1.554247268,0.388,2747.612451
14,30,20000,600000,1340000,512,0.004,6.9171554,1.475467466,0.42,2735.756786
14,31,20000,620000,1340000,512,0.004,6.9171554,1.5542138,0.40675,2741.705487
14,32,20000,640000,1340000,512,0.004,6.9171554,1.464247063,0.44125,2746.085055
14,33,20000,660000,1340000,512,0.004,6.9171554,1.528526511,0.4165,2745.038396
14,34,20000,680000,1340000,512,0.004,6.9171554,1.407948915,0.462,2745.331147
14,35,20000,700000,1340000,512,0.004,6.9171554,1.349416632,0.4925,2741.004109
14,36,20000,720000,1340000,512,0.004,6.9171554,1.437673975,0.468,2749.258256
14,37,20000,740000,1340000,512,0.004,6.9171554,1.34493313,0.49925,2740.123903
14,38,20000,760000,1340000,512,0.004,6.9171554,1.335101776,0.49925,2741.320037
14,39,20000,780000,1340000,512,0.004,6.9171554,1.401306532,0.48275,2743.916034
14,40,20000,800000,1340000,512,0.004,6.9171554,1.282283261,0.534,2734.961375
14,41,20000,820000,1340000,512,0.004,6.9171554,1.504296575,0.46275,2744.619409
14,42,20000,840000,1340000,512,0.004,6.9171554,1.194229364,0.57825,2733.538186
14,43,20000,860000,1340000,512,0.004,6.9171554,1.335050862,0.516,2737.717501
14,44,20000,880000,1340000,512,0.004,6.9171554,1.205571439,0.55875,2737.041219
14,45,20000,900000,1340000,512,0.004,6.9171554,1.11839224,0.59775,2744.270492
14,46,20000,920000,1340000,512,0.004,6.9171554,1.122801417,0.605,2743.712819
14,47,20000,940000,1340000,512,0.004,6.9171554,1.046737598,0.62475,2732.361825
14,48,20000,960000,1340000,512,0.004,6.9171554,1.033534501,0.635,2739.406193
